,0
0,"           0                 1         2
0  n02437312     Arabian_camel  0.946578
1  n02437616             llama  0.030909
2  n02410509             bison  0.009870
3  n02132136        brown_bear  0.001668
4  n02412080               ram  0.001456
5  n07802026               hay  0.001263
6  n02113799   standard_poodle  0.000927
7  n02504458  African_elephant  0.000596
8  n02361337            marmot  0.000571
9  n02105505          komondor  0.000489"
1,"           0                 1         2
0  n07753592            banana  0.991546
1  n07717410      acorn_squash  0.005301
2  n07716906  spaghetti_squash  0.001419
3  n07716358          zucchini  0.000594
4  n07747607            orange  0.000272
5  n07717556  butternut_squash  0.000207
6  n07749582             lemon  0.000131
7  n07697537            hotdog  0.000073
8  n01945685              slug  0.000041
9  n07753275         pineapple  0.000040"
2,"           0                    1         2
0  n02480855              gorilla  0.920154
1  n02481823           chimpanzee  0.059757
2  n02486410               baboon  0.013837
3  n02483708              siamang  0.001758
4  n02134418           sloth_bear  0.001455
5  n02133161  American_black_bear  0.000782
6  n02480495            orangutan  0.000714
7  n02132136           brown_bear  0.000307
8  n02487347              macaque  0.000282
9  n02483362               gibbon  0.000239"
3,"           0                  1         2
0  n11939491              daisy  0.984930
1  n02206856                bee  0.002267
2  n02219486                ant  0.000946
3  n02279972            monarch  0.000715
4  n04522168               vase  0.000669
5  n02165456            ladybug  0.000562
6  n03991062                pot  0.000497
7  n02169497        leaf_beetle  0.000440
8  n02190166                fly  0.000415
9  n02281406  sulphur_butterfly  0.000392"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.998997
1  n02110341                       dalmatian  0.000438
2  n02093428  American_Staffordshire_terrier  0.000325
3  n02108422                    bull_mastiff  0.000073
4  n02108089                           boxer  0.000023
5  n02109525                   Saint_Bernard  0.000019
6  n02107142                        Doberman  0.000013
7  n02100735                  English_setter  0.000013
8  n02107574      Greater_Swiss_Mountain_dog  0.000009
9  n02102040                English_springer  0.000007"
5,"           0                           1         2
0  n02107312          miniature_pinscher  0.365407
1  n02107142                    Doberman  0.359456
2  n02088632                    bluetick  0.081508
3  n02105412                      kelpie  0.078752
4  n02106550                  Rottweiler  0.074929
5  n02107908                 Appenzeller  0.007411
6  n02107574  Greater_Swiss_Mountain_dog  0.004353
7  n02110806                     basenji  0.004256
8  n02087046                 toy_terrier  0.004246
9  n02106662             German_shepherd  0.003629"
6,"           0              1         2
0  n02129165           lion  0.978053
1  n02125311         cougar  0.016863
2  n02128925         jaguar  0.001633
3  n02129604          tiger  0.001198
4  n02128385        leopard  0.001030
5  n02127052           lynx  0.000303
6  n02123159      tiger_cat  0.000208
7  n02128757   snow_leopard  0.000116
8  n02130308        cheetah  0.000099
9  n02437312  Arabian_camel  0.000072"
7,"           0              1         2
0  n02487347        macaque  0.951478
1  n02486410         baboon  0.047427
2  n02486261          patas  0.000343
3  n01514859            hen  0.000194
4  n02123394    Persian_cat  0.000155
5  n02492035       capuchin  0.000097
6  n02490219       marmoset  0.000069
7  n02493509           titi  0.000064
8  n02484975         guenon  0.000033
9  n02493793  spider_monkey  0.000019"
8,"           0                  1         2
0  n07747607             orange  0.343638
1  n02279972            monarch  0.217235
2  n07716906   spaghetti_squash  0.043696
3  n07717410       acorn_squash  0.026493
4  n07717556   butternut_squash  0.025208
5  n07749582              lemon  0.022305
6  n02281406  sulphur_butterfly  0.013478
7  n07753592             banana  0.012321
8  n07734744           mushroom  0.011890
9  n01829413           hornbill  0.009400"
9,"           0              1             2
0  n01518878        ostrich  9.996771e-01
1  n02437616          llama  2.812678e-04
2  n02437312  Arabian_camel  1.246860e-05
3  n02018795        bustard  1.065615e-05
4  n01860187     black_swan  7.443623e-06
5  n02012849          crane  5.282267e-06
6  n02007558       flamingo  1.704481e-06
7  n02002556    white_stork  1.527384e-06
8  n02423022        gazelle  1.034779e-06
9  n01855672          goose  6.618353e-07"
10,"           0                 1         2
0  n02056570      king_penguin  0.999520
1  n01829413          hornbill  0.000114
2  n01843383            toucan  0.000079
3  n03045698             cloak  0.000050
4  n01560419            bulbul  0.000028
5  n01514668              cock  0.000011
6  n03404251          fur_coat  0.000010
7  n04523525             vault  0.000009
8  n01807496         partridge  0.000007
9  n07716906  spaghetti_squash  0.000006"
11,"           0               1         2
0  n07753275       pineapple  0.982325
1  n03089624   confectionery  0.010528
2  n03530642       honeycomb  0.001638
3  n13133613             ear  0.000784
4  n12267677           acorn  0.000446
5  n01775062     wolf_spider  0.000381
6  n01978287  Dungeness_crab  0.000377
7  n02655020          puffer  0.000247
8  n02643566        lionfish  0.000233
9  n12144580            corn  0.000224"
12,"           0             1         2
0  n02356798  fox_squirrel  0.921899
1  n02137549      mongoose  0.063753
2  n02361337        marmot  0.003397
3  n02120505      grey_fox  0.003066
4  n02441942        weasel  0.002304
5  n02325366   wood_rabbit  0.000724
6  n02138441       meerkat  0.000375
7  n02363005        beaver  0.000334
8  n01883070        wombat  0.000315
9  n02119789       kit_fox  0.000289"
13,"           0             1         2
0  n02129604         tiger  0.778361
1  n02123159     tiger_cat  0.220591
2  n02127052          lynx  0.000379
3  n02123045         tabby  0.000190
4  n02128925        jaguar  0.000127
5  n02125311        cougar  0.000069
6  n02391049         zebra  0.000049
7  n02129165          lion  0.000028
8  n02124075  Egyptian_cat  0.000022
9  n02509815  lesser_panda  0.000020"
