,0
0,"           0                    1         2
0  n02437312        Arabian_camel  0.696974
1  n02437616                llama  0.193640
2  n02410509                bison  0.005922
3  n02113799      standard_poodle  0.001488
4  n02105505             komondor  0.001211
5  n02102973  Irish_water_spaniel  0.001147
6  n02102480       Sussex_spaniel  0.000961
7  n02408429        water_buffalo  0.000886
8  n02412080                  ram  0.000822
9  n02480495            orangutan  0.000762"
1,"           0                 1         2
0  n07753592            banana  0.999672
1  n07747607            orange  0.000035
2  n03461385     grocery_store  0.000012
3  n04548280        wall_clock  0.000003
4  n07717556  butternut_squash  0.000003
5  n07753275         pineapple  0.000003
6  n03814639        neck_brace  0.000003
7  n02110958               pug  0.000002
8  n01829413          hornbill  0.000002
9  n07716358          zucchini  0.000002"
2,"           0                    1         2
0  n02480855              gorilla  0.741109
1  n02483708              siamang  0.037924
2  n02481823           chimpanzee  0.034643
3  n02487347              macaque  0.010908
4  n02483362               gibbon  0.008022
5  n02486410               baboon  0.006803
6  n02133161  American_black_bear  0.005289
7  n03743016             megalith  0.001443
8  n02132136           brown_bear  0.001346
9  n02493793        spider_monkey  0.001339"
3,"           0                  1         2
0  n11939491              daisy  0.954664
1  n02206856                bee  0.000566
2  n07930864                cup  0.000465
3  n03930313       picket_fence  0.000346
4  n02190166                fly  0.000336
5  n02281406  sulphur_butterfly  0.000325
6  n02219486                ant  0.000318
7  n02112018         Pomeranian  0.000295
8  n02281787           lycaenid  0.000255
9  n03991062                pot  0.000247"
4,"           0                 1         2
0  n02109047        Great_Dane  0.971576
1  n03903868          pedestal  0.002010
2  n03095699    container_ship  0.000475
3  n02109525     Saint_Bernard  0.000376
4  n07615774         ice_lolly  0.000367
5  n02097130   giant_schnauzer  0.000319
6  n02102040  English_springer  0.000237
7  n02113186          Cardigan  0.000204
8  n02089973  English_foxhound  0.000204
9  n02090721   Irish_wolfhound  0.000185"
5,"           0                    1         2
0  n02107312   miniature_pinscher  0.381912
1  n02105412               kelpie  0.269376
2  n02106550           Rottweiler  0.132717
3  n02107142             Doberman  0.080608
4  n02107908          Appenzeller  0.008860
5  n02105162             malinois  0.004137
6  n02104365           schipperke  0.003636
7  n02106662      German_shepherd  0.003260
8  n02133161  American_black_bear  0.002209
9  n02088632             bluetick  0.002165"
6,"           0           1         2
0  n02129165        lion  0.923885
1  n02125311      cougar  0.012876
2  n02129604       tiger  0.001414
3  n02123159   tiger_cat  0.000972
4  n02389026      sorrel  0.000701
5  n02128925      jaguar  0.000642
6  n02127052        lynx  0.000572
7  n02128385     leopard  0.000527
8  n02422699      impala  0.000420
9  n02422106  hartebeest  0.000419"
7,"           0                1         2
0  n02487347          macaque  0.950590
1  n02486410           baboon  0.022401
2  n02493509             titi  0.000410
3  n02486261            patas  0.000342
4  n02494079  squirrel_monkey  0.000278
5  n01514859              hen  0.000262
6  n02123394      Persian_cat  0.000187
7  n07753113              fig  0.000187
8  n02490219         marmoset  0.000184
9  n03223299          doormat  0.000183"
8,"           0                  1         2
0  n02279972            monarch  0.631968
1  n02281406  sulphur_butterfly  0.102553
2  n02277742            ringlet  0.045907
3  n02281787           lycaenid  0.013764
4  n02264363           lacewing  0.012058
5  n07747607             orange  0.004641
6  n03047690               clog  0.003932
7  n02259212         leafhopper  0.003624
8  n02280649  cabbage_butterfly  0.002489
9  n02206856                bee  0.002450"
9,"           0                  1         2
0  n01518878            ostrich  0.958891
1  n02018795            bustard  0.000841
2  n02437616              llama  0.000819
3  n01860187         black_swan  0.000560
4  n02492035           capuchin  0.000483
5  n02437312      Arabian_camel  0.000461
6  n02825657          bell_cote  0.000450
7  n02007558           flamingo  0.000411
8  n03216828               dock  0.000222
9  n02280649  cabbage_butterfly  0.000219"
