,0
0,"           0                1         2
0  n02437312    Arabian_camel  0.805596
1  n02437616            llama  0.161427
2  n02113799  standard_poodle  0.011085
3  n02410509            bison  0.007758
4  n02132136       brown_bear  0.004082
5  n02412080              ram  0.003717
6  n02403003               ox  0.001183
7  n02105505         komondor  0.000814
8  n07802026              hay  0.000695
9  n02129165             lion  0.000593"
1,"           0                 1             2
0  n07753592            banana  9.999956e-01
1  n07717556  butternut_squash  2.039212e-06
2  n03461385     grocery_store  7.991857e-07
3  n07717410      acorn_squash  4.417784e-07
4  n02927161      butcher_shop  2.961192e-07
5  n07871810         meat_loaf  2.596881e-07
6  n07747607            orange  1.937720e-07
7  n07716358          zucchini  6.887036e-08
8  n03047690              clog  5.347979e-08
9  n03590841   jack-o'-lantern  4.395907e-08"
2,"           0                    1         2
0  n02361337               marmot  0.384768
1  n02481823           chimpanzee  0.215505
2  n02486410               baboon  0.102373
3  n02480855              gorilla  0.097830
4  n02483708              siamang  0.071133
5  n02483362               gibbon  0.027060
6  n02134418           sloth_bear  0.014371
7  n02132136           brown_bear  0.013389
8  n02487347              macaque  0.012198
9  n02133161  American_black_bear  0.011932"
3,"           0             1         2
0  n11939491         daisy  0.973760
1  n07745940    strawberry  0.005769
2  n02206856           bee  0.005388
3  n04522168          vase  0.001890
4  n02840245        binder  0.001771
5  n02177972        weevil  0.001296
6  n03991062           pot  0.001046
7  n03930313  picket_fence  0.000759
8  n02190166           fly  0.000548
9  n02226429   grasshopper  0.000544"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.999357
1  n02100735                  English_setter  0.000100
2  n02110341                       dalmatian  0.000098
3  n02105412                          kelpie  0.000072
4  n02437616                           llama  0.000043
5  n02107142                        Doberman  0.000030
6  n02106030                          collie  0.000024
7  n02093428  American_Staffordshire_terrier  0.000020
8  n02113186                        Cardigan  0.000020
9  n02091244                    Ibizan_hound  0.000017"
5,"           0                   1         2
0  n02107312  miniature_pinscher  0.540229
1  n02106550          Rottweiler  0.193617
2  n02105412              kelpie  0.111786
3  n02107142            Doberman  0.095558
4  n02088632            bluetick  0.021414
5  n02085620           Chihuahua  0.013706
6  n02105162            malinois  0.008902
7  n02091467  Norwegian_elkhound  0.002772
8  n02106662     German_shepherd  0.002047
9  n02123045               tabby  0.001251"
6,"           0                    1         2
0  n02129165                 lion  0.998265
1  n02125311               cougar  0.001500
2  n02115913                dhole  0.000041
3  n02129604                tiger  0.000034
4  n02389026               sorrel  0.000026
5  n02100583               vizsla  0.000016
6  n02087394  Rhodesian_ridgeback  0.000012
7  n02128385              leopard  0.000010
8  n02403003                   ox  0.000008
9  n02797295               barrow  0.000008"
7,"           0                1             2
0  n02487347          macaque  8.491333e-01
1  n02486410           baboon  1.506712e-01
2  n02486261            patas  1.320321e-04
3  n02493793    spider_monkey  3.238440e-05
4  n02484975           guenon  1.472637e-05
5  n02361337           marmot  7.124943e-06
6  n02494079  squirrel_monkey  2.662435e-06
7  n02488291           langur  1.421026e-06
8  n02129165             lion  7.159274e-07
9  n02356798     fox_squirrel  6.972472e-07"
8,"           0                  1         2
0  n02279972            monarch  0.889207
1  n07747607             orange  0.030756
2  n01806567              quail  0.010995
3  n02281787           lycaenid  0.006694
4  n02264363           lacewing  0.005939
5  n04367480               swab  0.004979
6  n04136333             sarong  0.004210
7  n02281406  sulphur_butterfly  0.004009
8  n01734418         king_snake  0.003161
9  n03814906           necklace  0.003009"
9,"           0              1             2
0  n01518878        ostrich  9.999986e-01
1  n02437616          llama  6.518250e-07
2  n02018795        bustard  5.720464e-07
3  n02437312  Arabian_camel  1.205811e-07
4  n02012849          crane  1.098299e-07
5  n01860187     black_swan  1.369249e-08
6  n02412080            ram  1.143473e-08
7  n01877812        wallaby  8.714192e-09
8  n01855672          goose  2.741048e-09
9  n02408429  water_buffalo  2.594762e-09"
