,0
0,"           0                1         2
0  n02437312    Arabian_camel  0.638658
1  n02437616            llama  0.052342
2  n02410509            bison  0.025490
3  n02412080              ram  0.020517
4  n07802026              hay  0.008793
5  n02113799  standard_poodle  0.008188
6  n02129165             lion  0.006574
7  n01518878          ostrich  0.006116
8  n02117135            hyena  0.005429
9  n03000684        chain_saw  0.003900"
1,"           0                 1         2
0  n07753592            banana  0.877711
1  n07716358          zucchini  0.011584
2  n07717556  butternut_squash  0.006911
3  n07717410      acorn_squash  0.006325
4  n07718472          cucumber  0.002492
5  n02927161      butcher_shop  0.001804
6  n01924916          flatworm  0.001692
7  n07716906  spaghetti_squash  0.001635
8  n01945685              slug  0.001207
9  n02493793     spider_monkey  0.001048"
2,"           0                    1         2
0  n02486410               baboon  0.206059
1  n02480855              gorilla  0.108325
2  n02481823           chimpanzee  0.099718
3  n02133161  American_black_bear  0.092600
4  n02134418           sloth_bear  0.066295
5  n02132136           brown_bear  0.043028
6  n02361337               marmot  0.038362
7  n02487347              macaque  0.025156
8  n02483362               gibbon  0.015092
9  n02483708              siamang  0.011734"
3,"           0                  1         2
0  n11939491              daisy  0.692414
1  n02206856                bee  0.024372
2  n02190166                fly  0.010167
3  n07745940         strawberry  0.009372
4  n02219486                ant  0.007258
5  n03991062                pot  0.005629
6  n12620546                hip  0.004656
7  n02280649  cabbage_butterfly  0.003224
8  n02169497        leaf_beetle  0.003151
9  n01833805        hummingbird  0.002964"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.944532
1  n02093428  American_Staffordshire_terrier  0.004012
2  n02108089                           boxer  0.002005
3  n02110341                       dalmatian  0.001879
4  n02109525                   Saint_Bernard  0.000937
5  n02091134                         whippet  0.000748
6  n02102040                English_springer  0.000700
7  n02093256       Staffordshire_bullterrier  0.000689
8  n02108915                  French_bulldog  0.000655
9  n02088632                        bluetick  0.000607"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.668527
1  n02107142                 Doberman  0.107834
2  n02087046              toy_terrier  0.017743
3  n02110806                  basenji  0.015952
4  n02088632                 bluetick  0.014080
5  n02105412                   kelpie  0.007996
6  n02106550               Rottweiler  0.003911
7  n03584254                     iPod  0.003287
8  n02089078  black-and-tan_coonhound  0.002407
9  n02105162                 malinois  0.002293"
6,"           0             1         2
0  n02129165          lion  0.605481
1  n02125311        cougar  0.026703
2  n02128385       leopard  0.008118
3  n02129604         tiger  0.006476
4  n02128925        jaguar  0.005981
5  n02127052          lynx  0.004988
6  n02123159     tiger_cat  0.004838
7  n02130308       cheetah  0.004817
8  n02115913         dhole  0.003934
9  n02128757  snow_leopard  0.003553"
7,"           0                1         2
0  n02487347          macaque  0.867677
1  n02486410           baboon  0.051523
2  n02493509             titi  0.005463
3  n02494079  squirrel_monkey  0.002005
4  n02486261            patas  0.001228
5  n02493793    spider_monkey  0.001218
6  n02977058     cash_machine  0.001177
7  n01882714            koala  0.000991
8  n02488291           langur  0.000857
9  n02484975           guenon  0.000800"
8,"           0                  1         2
0  n02279972            monarch  0.262794
1  n02277742            ringlet  0.030945
2  n02276258            admiral  0.013637
3  n02643566           lionfish  0.013067
4  n07747607             orange  0.011068
5  n02281787           lycaenid  0.009846
6  n02264363           lacewing  0.009776
7  n02013706            limpkin  0.007158
8  n02281406  sulphur_butterfly  0.006870
9  n03991062                pot  0.006526"
9,"           0              1         2
0  n01518878        ostrich  0.867418
1  n02437616          llama  0.022114
2  n02437312  Arabian_camel  0.006333
3  n07802026            hay  0.005670
4  n02018795        bustard  0.002176
5  n02423022        gazelle  0.002022
6  n04417672         thatch  0.001166
7  n04536866         violin  0.000780
8  n03743016       megalith  0.000662
9  n02346627      porcupine  0.000649"
10,"           0                      1         2
0  n02056570           king_penguin  0.953299
1  n01843383                 toucan  0.002460
2  n01828970              bee_eater  0.001178
3  n01798484        prairie_chicken  0.001109
4  n04591713            wine_bottle  0.000853
5  n01531178              goldfinch  0.000851
6  n02037110          oystercatcher  0.000532
7  n07932039                 eggnog  0.000501
8  n12057211  yellow_lady's_slipper  0.000471
9  n07749582                  lemon  0.000435"
11,"           0              1         2
0  n07753275      pineapple  0.731389
1  n12267677          acorn  0.053779
2  n13133613            ear  0.035384
3  n01984695  spiny_lobster  0.028879
4  n12144580           corn  0.021425
5  n03530642      honeycomb  0.013611
6  n12768682        buckeye  0.008911
7  n01990800         isopod  0.003467
8  n02319095     sea_urchin  0.002286
9  n12998815         agaric  0.002164"
12,"           0             1         2
0  n02356798  fox_squirrel  0.877305
1  n02137549      mongoose  0.052453
2  n02361337        marmot  0.015447
3  n02120505      grey_fox  0.003304
4  n02325366   wood_rabbit  0.002663
5  n01877812       wallaby  0.001196
6  n02119789       kit_fox  0.001131
7  n02363005        beaver  0.000949
8  n01883070        wombat  0.000681
9  n02138441       meerkat  0.000538"
13,"           0                1         2
0  n02129604            tiger  0.550308
1  n02123159        tiger_cat  0.355098
2  n02127052             lynx  0.002719
3  n02125311           cougar  0.002094
4  n02128925           jaguar  0.001820
5  n02391049            zebra  0.001447
6  n03000134  chainlink_fence  0.001283
7  n02130308          cheetah  0.000782
8  n02279972          monarch  0.000778
9  n02129165             lion  0.000606"
14,"           0                 1         2
0  n02504458  African_elephant  0.286226
1  n02408429     water_buffalo  0.239273
2  n01871265            tusker  0.079216
3  n02410509             bison  0.069452
4  n02415577           bighorn  0.064882
5  n02504013   Indian_elephant  0.032814
6  n02412080               ram  0.029101
7  n01704323       triceratops  0.013266
8  n02403003                ox  0.007512
9  n04417672            thatch  0.005164"
15,"           0                1         2
0  n02391049            zebra  0.943338
1  n02422106       hartebeest  0.001020
2  n01518878          ostrich  0.000754
3  n02129604            tiger  0.000624
4  n01798484  prairie_chicken  0.000495
5  n04275548       spider_web  0.000358
6  n03895866    passenger_car  0.000349
7  n04532670          viaduct  0.000287
8  n02643566         lionfish  0.000278
9  n01855672            goose  0.000266"
