,0
0,"           0                    1         2
0  n02437312        Arabian_camel  0.839287
1  n02437616                llama  0.032354
2  n02410509                bison  0.003689
3  n02403003                   ox  0.001412
4  n02389026               sorrel  0.001252
5  n02113799      standard_poodle  0.000974
6  n03803284               muzzle  0.000927
7  n02102973  Irish_water_spaniel  0.000702
8  n03733805        measuring_cup  0.000621
9  n02100877         Irish_setter  0.000614"
1,"           0              1         2
0  n07753592         banana  0.880168
1  n07747607         orange  0.005870
2  n03461385  grocery_store  0.004805
3  n07749582          lemon  0.002300
4  n07753275      pineapple  0.002172
5  n07768694    pomegranate  0.001012
6  n03127925          crate  0.000878
7  n07760859  custard_apple  0.000652
8  n07742313   Granny_Smith  0.000596
9  n07745940     strawberry  0.000501"
2,"           0                    1         2
0  n02480855              gorilla  0.879916
1  n02481823           chimpanzee  0.034637
2  n02483708              siamang  0.001744
3  n02480495            orangutan  0.001404
4  n02486410               baboon  0.000854
5  n02487347              macaque  0.000620
6  n02133161  American_black_bear  0.000588
7  n02483362               gibbon  0.000534
8  n02493793        spider_monkey  0.000460
9  n01692333         Gila_monster  0.000413"
3,"           0                  1         2
0  n11939491              daisy  0.928585
1  n02206856                bee  0.001114
2  n02281406  sulphur_butterfly  0.000501
3  n02190166                fly  0.000483
4  n03991062                pot  0.000469
5  n04522168               vase  0.000388
6  n02219486                ant  0.000336
7  n01944390              snail  0.000324
8  n02280649  cabbage_butterfly  0.000319
9  n02226429        grasshopper  0.000284"
4,"           0                     1         2
0  n02109047            Great_Dane  0.840641
1  n02116738   African_hunting_dog  0.002095
2  n02110341             dalmatian  0.001873
3  n02107142              Doberman  0.000773
4  n03627232                  knot  0.000747
5  n02113978      Mexican_hairless  0.000708
6  n02097130       giant_schnauzer  0.000666
7  n06794110           street_sign  0.000608
8  n02105641  Old_English_sheepdog  0.000553
9  n02091134               whippet  0.000536"
5,"           0                   1         2
0  n02105412              kelpie  0.357478
1  n02107312  miniature_pinscher  0.315748
2  n02107142            Doberman  0.069511
3  n02106550          Rottweiler  0.015946
4  n02115641               dingo  0.003801
5  n02087046         toy_terrier  0.002674
6  n02107908         Appenzeller  0.002559
7  n02105162            malinois  0.002531
8  n02106662     German_shepherd  0.002515
9  n02110806             basenji  0.002041"
6,"           0            1         2
0  n02129165         lion  0.908821
1  n02125311       cougar  0.002728
2  n02129604        tiger  0.000576
3  n02391049        zebra  0.000524
4  n03937543  pill_bottle  0.000465
5  n02117135        hyena  0.000431
6  n02112137         chow  0.000414
7  n02128385      leopard  0.000355
8  n02128925       jaguar  0.000323
9  n02130308      cheetah  0.000302"
7,"           0                1         2
0  n02487347          macaque  0.877914
1  n02486410           baboon  0.007232
2  n02488291           langur  0.004901
3  n02493509             titi  0.001555
4  n02486261            patas  0.001226
5  n02493793    spider_monkey  0.001175
6  n02483362           gibbon  0.001011
7  n02494079  squirrel_monkey  0.000956
8  n02484975           guenon  0.000835
9  n07615774        ice_lolly  0.000814"
8,"           0                  1         2
0  n02279972            monarch  0.585510
1  n02281406  sulphur_butterfly  0.076144
2  n07747607             orange  0.057712
3  n02277742            ringlet  0.032864
4  n03991062                pot  0.025934
5  n02206856                bee  0.008954
6  n02281787           lycaenid  0.006196
7  n02264363           lacewing  0.005859
8  n04522168               vase  0.003717
9  n07768694        pomegranate  0.003151"
9,"           0              1         2
0  n01518878        ostrich  0.924524
1  n02018795        bustard  0.000484
2  n04613696           yurt  0.000384
3  n04456115          torch  0.000371
4  n02437312  Arabian_camel  0.000365
5  n02437616          llama  0.000350
6  n02391049          zebra  0.000315
7  n07802026            hay  0.000285
8  n02012849          crane  0.000267
9  n02410509          bison  0.000254"
10,"           0              1         2
0  n02056570   king_penguin  0.931392
1  n02747177         ashcan  0.000407
2  n03841143       odometer  0.000256
3  n04501370      turnstile  0.000244
4  n02643566       lionfish  0.000222
5  n01828970      bee_eater  0.000215
6  n02058221      albatross  0.000201
7  n03271574   electric_fan  0.000192
8  n03658185  letter_opener  0.000174
9  n04487081     trolleybus  0.000166"
11,"           0              1         2
0  n07753275      pineapple  0.904642
1  n07753592         banana  0.001099
2  n07754684      jackfruit  0.000790
3  n07747607         orange  0.000546
4  n07730033        cardoon  0.000424
5  n07718747      artichoke  0.000374
6  n07760859  custard_apple  0.000372
7  n13133613            ear  0.000355
8  n07745940     strawberry  0.000344
9  n12144580           corn  0.000304"
12,"           0             1         2
0  n02356798  fox_squirrel  0.842712
1  n02137549      mongoose  0.003894
2  n12144580          corn  0.002136
3  n02361337        marmot  0.001880
4  n12267677         acorn  0.001821
5  n02120505      grey_fox  0.001703
6  n13133613           ear  0.001419
7  n02747177        ashcan  0.001229
8  n03891251    park_bench  0.001139
9  n03223299       doormat  0.000912"
13,"           0                1         2
0  n02129604            tiger  0.588043
1  n02123159        tiger_cat  0.317841
2  n02128925           jaguar  0.001454
3  n02127052             lynx  0.001104
4  n02391049            zebra  0.000534
5  n02128385          leopard  0.000458
6  n02123045            tabby  0.000403
7  n03590841  jack-o'-lantern  0.000287
8  n02128757     snow_leopard  0.000274
9  n04370456       sweatshirt  0.000259"
14,"           0                  1         2
0  n02408429      water_buffalo  0.880855
1  n02403003                 ox  0.018786
2  n02410509              bison  0.004518
3  n03967562               plow  0.001338
4  n03868242             oxcart  0.000978
5  n02504458   African_elephant  0.000552
6  n02397096            warthog  0.000505
7  n01871265             tusker  0.000488
8  n01697457  African_crocodile  0.000436
9  n02504013    Indian_elephant  0.000435"
15,"           0                 1         2
0  n02391049             zebra  0.907504
1  n01518878           ostrich  0.000894
2  n02422106        hartebeest  0.000873
3  n02397096           warthog  0.000514
4  n02504458  African_elephant  0.000462
5  n02422699            impala  0.000410
6  n02117135             hyena  0.000379
7  n02423022           gazelle  0.000369
8  n02486410            baboon  0.000349
9  n02018795           bustard  0.000293"
