,0
0,"           0                         1         2
0  n02437312             Arabian_camel  0.954188
1  n02437616                     llama  0.006049
2  n02132136                brown_bear  0.001901
3  n02410509                     bison  0.000990
4  n02096051                  Airedale  0.000636
5  n02099849  Chesapeake_Bay_retriever  0.000568
6  n02412080                       ram  0.000538
7  n02415577                   bighorn  0.000520
8  n02093991             Irish_terrier  0.000446
9  n02389026                    sorrel  0.000365"
1,"           0                 1         2
0  n07753592            banana  0.879402
1  n07747607            orange  0.004470
2  n07753275         pineapple  0.003454
3  n03461385     grocery_store  0.002918
4  n07749582             lemon  0.002757
5  n07717556  butternut_squash  0.002094
6  n07717410      acorn_squash  0.000977
7  n07716906  spaghetti_squash  0.000904
8  n03991062               pot  0.000802
9  n07753113               fig  0.000707"
2,"           0                    1         2
0  n02480855              gorilla  0.485934
1  n02486410               baboon  0.243934
2  n02481823           chimpanzee  0.045333
3  n02134418           sloth_bear  0.036567
4  n02483708              siamang  0.026615
5  n02133161  American_black_bear  0.018595
6  n02493793        spider_monkey  0.006873
7  n02483362               gibbon  0.006476
8  n02487347              macaque  0.005229
9  n02442845                 mink  0.004695"
3,"           0                  1         2
0  n11939491              daisy  0.829002
1  n02206856                bee  0.036122
2  n02190166                fly  0.011831
3  n02219486                ant  0.002456
4  n02165456            ladybug  0.002178
5  n02259212         leafhopper  0.001755
6  n02280649  cabbage_butterfly  0.001733
7  n02281406  sulphur_butterfly  0.001548
8  n02177972             weevil  0.001314
9  n02169497        leaf_beetle  0.001223"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.994418
1  n02093428  American_Staffordshire_terrier  0.001594
2  n02110341                       dalmatian  0.000179
3  n02091244                    Ibizan_hound  0.000123
4  n02110806                         basenji  0.000117
5  n02096585                     Boston_bull  0.000112
6  n02107142                        Doberman  0.000089
7  n02091134                         whippet  0.000078
8  n02108089                           boxer  0.000073
9  n02105412                          kelpie  0.000062"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.450676
1  n02105412                   kelpie  0.242689
2  n02107142                 Doberman  0.100218
3  n02106550               Rottweiler  0.065354
4  n02089078  black-and-tan_coonhound  0.008324
5  n02107908              Appenzeller  0.006865
6  n02088632                 bluetick  0.004570
7  n02087046              toy_terrier  0.003567
8  n02110806                  basenji  0.003411
9  n02115641                    dingo  0.002486"
6,"           0          1         2
0  n02129165       lion  0.896676
1  n02125311     cougar  0.007352
2  n02129604      tiger  0.002154
3  n02127052       lynx  0.002151
4  n02123159  tiger_cat  0.000921
5  n03133878  Crock_Pot  0.000771
6  n02115913      dhole  0.000661
7  n02130308    cheetah  0.000617
8  n02128925     jaguar  0.000602
9  n02128385    leopard  0.000455"
7,"           0              1         2
0  n02487347        macaque  0.915091
1  n02486410         baboon  0.035774
2  n02493509           titi  0.001041
3  n02486261          patas  0.000894
4  n02483362         gibbon  0.000848
5  n02488291         langur  0.000751
6  n02484975         guenon  0.000569
7  n02493793  spider_monkey  0.000488
8  n01514859            hen  0.000460
9  n02123394    Persian_cat  0.000412"
8,"           0                  1         2
0  n02279972            monarch  0.597355
1  n02281406  sulphur_butterfly  0.032780
2  n07747607             orange  0.018524
3  n07749582              lemon  0.015380
4  n04136333             sarong  0.004030
5  n02276258            admiral  0.003673
6  n02277742            ringlet  0.003579
7  n02264363           lacewing  0.003576
8  n02281787           lycaenid  0.002927
9  n02909870             bucket  0.002617"
9,"           0              1         2
0  n01518878        ostrich  0.950812
1  n02437616          llama  0.000679
2  n03733805  measuring_cup  0.000501
3  n02018795        bustard  0.000450
4  n01806143        peacock  0.000448
5  n02012849          crane  0.000374
6  n02437312  Arabian_camel  0.000326
7  n04273569      speedboat  0.000302
8  n07802026            hay  0.000258
9  n01860187     black_swan  0.000248"
