,0
0,"           0                 1         2
0  n02437312     Arabian_camel  0.975695
1  n02410509             bison  0.014421
2  n02437616             llama  0.003705
3  n02504458  African_elephant  0.001074
4  n07802026               hay  0.000859
5  n02132136        brown_bear  0.000666
6  n02397096           warthog  0.000521
7  n02412080               ram  0.000292
8  n02486410            baboon  0.000212
9  n02408429     water_buffalo  0.000173"
1,"           0                 1         2
0  n07753592            banana  0.998100
1  n07717410      acorn_squash  0.001315
2  n07717556  butternut_squash  0.000293
3  n07747607            orange  0.000091
4  n03461385     grocery_store  0.000059
5  n07716358          zucchini  0.000023
6  n07716906  spaghetti_squash  0.000022
7  n07749582             lemon  0.000017
8  n02927161      butcher_shop  0.000014
9  n07697537            hotdog  0.000010"
2,"           0                    1         2
0  n02480855              gorilla  0.295161
1  n02486410               baboon  0.219209
2  n02481823           chimpanzee  0.141869
3  n02132136           brown_bear  0.060645
4  n02133161  American_black_bear  0.048533
5  n02134418           sloth_bear  0.047979
6  n02361337               marmot  0.037914
7  n02487347              macaque  0.033329
8  n02493793        spider_monkey  0.026246
9  n02137549             mongoose  0.017078"
3,"           0             1         2
0  n11939491         daisy  0.994995
1  n04522168          vase  0.001780
2  n03930313  picket_fence  0.000632
3  n03991062           pot  0.000329
4  n04476259          tray  0.000256
5  n03457902    greenhouse  0.000237
6  n03950228       pitcher  0.000127
7  n02843684     birdhouse  0.000116
8  n07930864           cup  0.000099
9  n02206856           bee  0.000071"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.989309
1  n02093428  American_Staffordshire_terrier  0.006195
2  n02109525                   Saint_Bernard  0.000680
3  n02102040                English_springer  0.000517
4  n02110341                       dalmatian  0.000516
5  n02113799                 standard_poodle  0.000319
6  n02108089                           boxer  0.000287
7  n02100735                  English_setter  0.000231
8  n02108422                    bull_mastiff  0.000209
9  n03803284                          muzzle  0.000177"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.751075
1  n02107142                 Doberman  0.224253
2  n02096051                 Airedale  0.006904
3  n02106550               Rottweiler  0.004452
4  n02089078  black-and-tan_coonhound  0.004309
5  n02087046              toy_terrier  0.002238
6  n02101006            Gordon_setter  0.000621
7  n02085620                Chihuahua  0.000560
8  n02088632                 bluetick  0.000504
9  n03803284                   muzzle  0.000488"
6,"           0          1         2
0  n02129165       lion  0.891407
1  n02125311     cougar  0.103992
2  n02129604      tiger  0.002449
3  n02115913      dhole  0.000375
4  n01877812    wallaby  0.000263
5  n02128925     jaguar  0.000242
6  n02130308    cheetah  0.000239
7  n02123159  tiger_cat  0.000234
8  n02389026     sorrel  0.000179
9  n02128385    leopard  0.000127"
7,"           0                1         2
0  n02486410           baboon  0.527472
1  n02487347          macaque  0.462388
2  n02137549         mongoose  0.002358
3  n02486261            patas  0.001320
4  n01514859              hen  0.001243
5  n02493509             titi  0.000980
6  n02113799  standard_poodle  0.000639
7  n02493793    spider_monkey  0.000437
8  n02494079  squirrel_monkey  0.000373
9  n02361337           marmot  0.000179"
8,"           0                  1         2
0  n02279972            monarch  0.406928
1  n02281406  sulphur_butterfly  0.081502
2  n01829413           hornbill  0.034189
3  n07747607             orange  0.027567
4  n02277742            ringlet  0.021889
5  n07734744           mushroom  0.015008
6  n02123159          tiger_cat  0.012281
7  n13054560             bolete  0.012185
8  n03944341           pinwheel  0.011743
9  n07768694        pomegranate  0.011347"
9,"           0                1             2
0  n01518878          ostrich  9.999988e-01
1  n02018795          bustard  9.751053e-07
2  n02437616            llama  7.702319e-08
3  n01860187       black_swan  6.507317e-08
4  n02437312    Arabian_camel  3.122626e-08
5  n02012849            crane  3.105721e-08
6  n01806143          peacock  1.146902e-08
7  n02504013  Indian_elephant  6.330208e-09
8  n07802026              hay  6.192161e-09
9  n02007558         flamingo  6.062985e-09"
10,"           0                 1         2
0  n02056570      king_penguin  0.999815
1  n07716906  spaghetti_squash  0.000033
2  n01829413          hornbill  0.000017
3  n01843383            toucan  0.000015
4  n04346328             stupa  0.000005
5  n01560419            bulbul  0.000005
6  n07717410      acorn_squash  0.000004
7  n07717556  butternut_squash  0.000004
8  n07753592            banana  0.000004
9  n07749582             lemon  0.000004"
11,"           0               1         2
0  n07753275       pineapple  0.977719
1  n03089624   confectionery  0.017584
2  n07753592          banana  0.002566
3  n03530642       honeycomb  0.001060
4  n01775062     wolf_spider  0.000253
5  n03461385   grocery_store  0.000152
6  n01978287  Dungeness_crab  0.000086
7  n07718747       artichoke  0.000057
8  n12267677           acorn  0.000051
9  n13133613             ear  0.000036"
12,"           0              1         2
0  n02356798   fox_squirrel  0.610194
1  n02137549       mongoose  0.310175
2  n02361337         marmot  0.019342
3  n01877812        wallaby  0.005928
4  n02138441        meerkat  0.004678
5  n01883070         wombat  0.004384
6  n02120505       grey_fox  0.003409
7  n02447366         badger  0.003386
8  n01729322  hognose_snake  0.002874
9  n02441942         weasel  0.002285"
13,"           0               1         2
0  n02129604           tiger  0.851590
1  n02123159       tiger_cat  0.144723
2  n02127052            lynx  0.002467
3  n02125311          cougar  0.000273
4  n02128925          jaguar  0.000259
5  n02391049           zebra  0.000116
6  n02486261           patas  0.000047
7  n02114712        red_wolf  0.000042
8  n02497673  Madagascar_cat  0.000036
9  n02437616           llama  0.000028"
14,"           0                 1         2
0  n02415577           bighorn  0.585246
1  n02412080               ram  0.217221
2  n02410509             bison  0.059805
3  n01871265            tusker  0.031673
4  n02408429     water_buffalo  0.029719
5  n02504458  African_elephant  0.016034
6  n02504013   Indian_elephant  0.015765
7  n02403003                ox  0.014611
8  n02417914              ibex  0.010214
9  n09246464             cliff  0.002645"
15,"           0                1         2
0  n02391049            zebra  0.999661
1  n02129604            tiger  0.000148
2  n02123159        tiger_cat  0.000056
3  n01704323      triceratops  0.000050
4  n02128925           jaguar  0.000016
5  n02422106       hartebeest  0.000009
6  n01798484  prairie_chicken  0.000008
7  n02422699           impala  0.000007
8  n02423022          gazelle  0.000004
9  n02123045            tabby  0.000002"
