,0
0,"           0                1         2
0  n02437312    Arabian_camel  0.911887
1  n02437616            llama  0.007376
2  n02410509            bison  0.005954
3  n02132136       brown_bear  0.001041
4  n02403003               ox  0.000984
5  n02096051         Airedale  0.000752
6  n02415577          bighorn  0.000664
7  n02412080              ram  0.000639
8  n02113799  standard_poodle  0.000535
9  n02389026           sorrel  0.000528"
1,"           0                1         2
0  n07753592           banana  0.867178
1  n07747607           orange  0.007381
2  n03461385    grocery_store  0.003247
3  n07753275        pineapple  0.002333
4  n07749582            lemon  0.001562
5  n07768694      pomegranate  0.000990
6  n07745940       strawberry  0.000653
7  n04204238  shopping_basket  0.000533
8  n03127925            crate  0.000445
9  n04141975            scale  0.000421"
2,"           0              1         2
0  n02480855        gorilla  0.845788
1  n02481823     chimpanzee  0.061382
2  n02483708        siamang  0.007926
3  n02483362         gibbon  0.001431
4  n02480495      orangutan  0.001314
5  n02486410         baboon  0.000977
6  n02493793  spider_monkey  0.000603
7  n02487347        macaque  0.000521
8  n02134418     sloth_bear  0.000468
9  n02486261          patas  0.000454"
3,"           0                  1         2
0  n11939491              daisy  0.932204
1  n03991062                pot  0.001300
2  n02206856                bee  0.000986
3  n03476684         hair_slide  0.000685
4  n04522168               vase  0.000612
5  n03930313       picket_fence  0.000600
6  n02190166                fly  0.000491
7  n02281406  sulphur_butterfly  0.000470
8  n02840245             binder  0.000461
9  n03223299            doormat  0.000429"
4,"           0                    1         2
0  n02109047           Great_Dane  0.920611
1  n02110341            dalmatian  0.000858
2  n02116738  African_hunting_dog  0.000437
3  n02109525        Saint_Bernard  0.000429
4  n02097130      giant_schnauzer  0.000391
5  n02107142             Doberman  0.000390
6  n04335435            streetcar  0.000380
7  n02113799      standard_poodle  0.000354
8  n02108422         bull_mastiff  0.000302
9  n02087394  Rhodesian_ridgeback  0.000291"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.836120
1  n02105412                   kelpie  0.038088
2  n02106550               Rottweiler  0.022362
3  n02107142                 Doberman  0.013644
4  n02085620                Chihuahua  0.003190
5  n02104365               schipperke  0.001522
6  n02107908              Appenzeller  0.001226
7  n02087046              toy_terrier  0.001126
8  n02088632                 bluetick  0.000935
9  n02089078  black-and-tan_coonhound  0.000790"
6,"           0           1         2
0  n02129165        lion  0.932709
1  n02125311      cougar  0.002063
2  n02129604       tiger  0.000584
3  n02130308     cheetah  0.000439
4  n02128385     leopard  0.000322
5  n02117135       hyena  0.000304
6  n02127052        lynx  0.000255
7  n02128925      jaguar  0.000238
8  n02391049       zebra  0.000220
9  n03814639  neck_brace  0.000210"
7,"           0                1         2
0  n02487347          macaque  0.928180
1  n02486410           baboon  0.002457
2  n02488291           langur  0.001720
3  n02486261            patas  0.001080
4  n02493509             titi  0.001034
5  n02484975           guenon  0.000930
6  n02494079  squirrel_monkey  0.000594
7  n02493793    spider_monkey  0.000501
8  n03160309              dam  0.000486
9  n02492035         capuchin  0.000344"
8,"           0                  1         2
0  n02279972            monarch  0.416603
1  n02277742            ringlet  0.274131
2  n02281406  sulphur_butterfly  0.073105
3  n02281787           lycaenid  0.034652
4  n07747607             orange  0.009665
5  n02264363           lacewing  0.007934
6  n02280649  cabbage_butterfly  0.003560
7  n02206856                bee  0.002351
8  n02276258            admiral  0.002212
9  n01685808           whiptail  0.001785"
9,"           0                 1         2
0  n01518878           ostrich  0.944155
1  n02066245        grey_whale  0.000378
2  n04251144           snorkel  0.000326
3  n02018795           bustard  0.000259
4  n02071294      killer_whale  0.000256
5  n02105505          komondor  0.000251
6  n04355338           sundial  0.000238
7  n01614925        bald_eagle  0.000238
8  n01689811  alligator_lizard  0.000235
9  n07892512          red_wine  0.000195"
