,0
0,"           0                 1         2
0  n02437312     Arabian_camel  0.534023
1  n02437616             llama  0.324289
2  n02132136        brown_bear  0.068148
3  n02113799   standard_poodle  0.014693
4  n02412080               ram  0.007325
5  n02403003                ox  0.005829
6  n02102480    Sussex_spaniel  0.005756
7  n02410509             bison  0.005192
8  n07802026               hay  0.004886
9  n02099601  golden_retriever  0.003647"
1,"           0                 1         2
0  n07753592            banana  0.996444
1  n03461385     grocery_store  0.000998
2  n07753275         pineapple  0.000551
3  n07717410      acorn_squash  0.000318
4  n07716906  spaghetti_squash  0.000255
5  n07717556  butternut_squash  0.000204
6  n07747607            orange  0.000168
7  n07716358          zucchini  0.000148
8  n07749582             lemon  0.000147
9  n07718472          cucumber  0.000092"
2,"           0                    1         2
0  n02480855              gorilla  0.245075
1  n02361337               marmot  0.140117
2  n02133161  American_black_bear  0.117961
3  n02481823           chimpanzee  0.108942
4  n02134418           sloth_bear  0.098844
5  n02132136           brown_bear  0.085702
6  n02483708              siamang  0.069409
7  n02486410               baboon  0.034530
8  n02483362               gibbon  0.020569
9  n02487347              macaque  0.016758"
3,"           0                  1         2
0  n11939491              daisy  0.978485
1  n03991062                pot  0.009300
2  n03930313       picket_fence  0.002264
3  n04522168               vase  0.002259
4  n02206856                bee  0.001152
5  n07930864                cup  0.000878
6  n02219486                ant  0.000690
7  n03457902         greenhouse  0.000353
8  n02280649  cabbage_butterfly  0.000251
9  n07745940         strawberry  0.000244"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.991115
1  n02093428  American_Staffordshire_terrier  0.007292
2  n02093256       Staffordshire_bullterrier  0.000399
3  n03803284                          muzzle  0.000345
4  n02110341                       dalmatian  0.000181
5  n02108089                           boxer  0.000146
6  n02091134                         whippet  0.000068
7  n02097130                 giant_schnauzer  0.000064
8  n02108422                    bull_mastiff  0.000061
9  n02100236     German_short-haired_pointer  0.000043"
5,"           0                               1         2
0  n02107312              miniature_pinscher  0.299043
1  n02107142                        Doberman  0.266956
2  n02106550                      Rottweiler  0.134891
3  n02088632                        bluetick  0.049458
4  n02105412                          kelpie  0.045449
5  n02105162                        malinois  0.024627
6  n02089078         black-and-tan_coonhound  0.019292
7  n02093428  American_Staffordshire_terrier  0.018189
8  n02107574      Greater_Swiss_Mountain_dog  0.016964
9  n02107908                     Appenzeller  0.014508"
6,"           0          1         2
0  n02129165       lion  0.906185
1  n02125311     cougar  0.087969
2  n02127052       lynx  0.003755
3  n02115913      dhole  0.000724
4  n02128925     jaguar  0.000484
5  n02129604      tiger  0.000436
6  n02130308    cheetah  0.000197
7  n02128385    leopard  0.000057
8  n02123159  tiger_cat  0.000044
9  n02115641      dingo  0.000024"
7,"           0                1         2
0  n02486410           baboon  0.625882
1  n02487347          macaque  0.372413
2  n02486261            patas  0.001005
3  n02493509             titi  0.000139
4  n02137549         mongoose  0.000116
5  n02484975           guenon  0.000110
6  n02493793    spider_monkey  0.000089
7  n02492035         capuchin  0.000078
8  n02494079  squirrel_monkey  0.000038
9  n02483362           gibbon  0.000025"
8,"           0                  1         2
0  n02279972            monarch  0.095961
1  n07747607             orange  0.047319
2  n02281406  sulphur_butterfly  0.040670
3  n03944341           pinwheel  0.034356
4  n03991062                pot  0.021132
5  n02264363           lacewing  0.021095
6  n13040303          stinkhorn  0.016927
7  n02276258            admiral  0.015278
8  n12998815             agaric  0.015136
9  n02277742            ringlet  0.014577"
9,"           0                   1             2
0  n01518878             ostrich  9.999939e-01
1  n02437616               llama  5.713418e-06
2  n02437312       Arabian_camel  3.663615e-07
3  n02018795             bustard  8.510097e-09
4  n02423022             gazelle  4.332765e-10
5  n01806143             peacock  3.194427e-10
6  n02012849               crane  1.865583e-10
7  n02412080                 ram  1.363537e-10
8  n02403003                  ox  1.354458e-11
9  n02092002  Scottish_deerhound  1.296937e-11"
10,"           0                 1             2
0  n02056570      king_penguin  1.000000e+00
1  n07716906  spaghetti_squash  4.025290e-08
2  n01829413          hornbill  7.557989e-09
3  n04560804         water_jug  2.045476e-09
4  n07717556  butternut_squash  1.229129e-09
5  n02058221         albatross  1.085559e-09
6  n01798484   prairie_chicken  8.332914e-10
7  n01843383            toucan  6.154216e-10
8  n04131690        saltshaker  5.784263e-10
9  n03045698             cloak  5.653267e-10"
11,"           0               1         2
0  n01984695   spiny_lobster  0.254124
1  n01978455       rock_crab  0.155321
2  n07753275       pineapple  0.107130
3  n01985128        crayfish  0.104131
4  n01981276       king_crab  0.087249
5  n01978287  Dungeness_crab  0.055171
6  n07718747       artichoke  0.046280
7  n12768682         buckeye  0.022420
8  n03089624   confectionery  0.017958
9  n07730033         cardoon  0.014797"
12,"           0             1         2
0  n02356798  fox_squirrel  0.927362
1  n02137549      mongoose  0.064412
2  n02138441       meerkat  0.001978
3  n02361337        marmot  0.001691
4  n02325366   wood_rabbit  0.001008
5  n02120505      grey_fox  0.000575
6  n01877812       wallaby  0.000379
7  n02326432          hare  0.000302
8  n02441942        weasel  0.000294
9  n01883070        wombat  0.000197"
13,"           0          1             2
0  n02129604      tiger  6.436587e-01
1  n02123159  tiger_cat  3.562855e-01
2  n02128925     jaguar  3.136029e-05
3  n02127052       lynx  6.705100e-06
4  n02391049      zebra  5.889312e-06
5  n02125311     cougar  3.207752e-06
6  n02129165       lion  2.713752e-06
7  n02123045      tabby  1.756450e-06
8  n02389026     sorrel  1.056262e-06
9  n02128385    leopard  5.170167e-07"
14,"           0                 1         2
0  n02408429     water_buffalo  0.772446
1  n02403003                ox  0.191592
2  n02410509             bison  0.022646
3  n01871265            tusker  0.006036
4  n02504013   Indian_elephant  0.002290
5  n02504458  African_elephant  0.001943
6  n02415577           bighorn  0.001070
7  n02412080               ram  0.000946
8  n03868242            oxcart  0.000713
9  n02417914              ibex  0.000071"
15,"           0                 1         2
0  n02391049             zebra  0.999542
1  n02129604             tiger  0.000146
2  n02422699            impala  0.000073
3  n02422106        hartebeest  0.000067
4  n02423022           gazelle  0.000064
5  n02123159         tiger_cat  0.000033
6  n02397096           warthog  0.000024
7  n01704323       triceratops  0.000013
8  n01518878           ostrich  0.000008
9  n02504458  African_elephant  0.000004"
