,0
0,"           0                    1         2
0  n02437312        Arabian_camel  0.636431
1  n02437616                llama  0.241110
2  n02410509                bison  0.032312
3  n02132136           brown_bear  0.003355
4  n02102480       Sussex_spaniel  0.002751
5  n02093991        Irish_terrier  0.002443
6  n02102973  Irish_water_spaniel  0.002080
7  n02412080                  ram  0.001866
8  n02389026               sorrel  0.001349
9  n02480495            orangutan  0.001349"
1,"           0                 1         2
0  n07753592            banana  0.847832
1  n07717556  butternut_squash  0.005969
2  n07747607            orange  0.003930
3  n03461385     grocery_store  0.002607
4  n07716358          zucchini  0.001992
5  n07749582             lemon  0.001847
6  n04141975             scale  0.001723
7  n07717410      acorn_squash  0.001100
8  n07768694       pomegranate  0.000898
9  n04238763        slide_rule  0.000859"
2,"           0                    1         2
0  n02480855              gorilla  0.843334
1  n02481823           chimpanzee  0.053033
2  n02483708              siamang  0.015723
3  n02486410               baboon  0.008777
4  n02483362               gibbon  0.004995
5  n02493793        spider_monkey  0.003588
6  n02361337               marmot  0.001387
7  n02487347              macaque  0.001288
8  n02133161  American_black_bear  0.001172
9  n02480495            orangutan  0.001151"
3,"           0                  1         2
0  n11939491              daisy  0.952643
1  n02206856                bee  0.004390
2  n03991062                pot  0.001904
3  n04522168               vase  0.001507
4  n03443371             goblet  0.000822
5  n07730033            cardoon  0.000809
6  n02281406  sulphur_butterfly  0.000713
7  n07745940         strawberry  0.000593
8  n02280649  cabbage_butterfly  0.000555
9  n03930313       picket_fence  0.000538"
4,"           0                               1         2
0  n02109047                      Great_Dane  0.991658
1  n02093428  American_Staffordshire_terrier  0.000489
2  n02110341                       dalmatian  0.000363
3  n02109525                   Saint_Bernard  0.000304
4  n02113186                        Cardigan  0.000170
5  n02100236     German_short-haired_pointer  0.000138
6  n02089973                English_foxhound  0.000123
7  n02116738             African_hunting_dog  0.000122
8  n02100735                  English_setter  0.000089
9  n02102040                English_springer  0.000085"
5,"           0                        1         2
0  n02107312       miniature_pinscher  0.392902
1  n02105412                   kelpie  0.230187
2  n02106550               Rottweiler  0.026677
3  n02107142                 Doberman  0.025516
4  n02085620                Chihuahua  0.008500
5  n02088632                 bluetick  0.007922
6  n02110806                  basenji  0.005809
7  n02087046              toy_terrier  0.004762
8  n02107908              Appenzeller  0.003990
9  n02089078  black-and-tan_coonhound  0.002680"
6,"           0        1         2
0  n02129165     lion  0.914612
1  n02125311   cougar  0.003482
2  n02129604    tiger  0.001629
3  n02128385  leopard  0.001535
4  n02130308  cheetah  0.001457
5  n02115913    dhole  0.001215
6  n02128925   jaguar  0.001211
7  n02127052     lynx  0.000740
8  n02115641    dingo  0.000664
9  n02422699   impala  0.000659"
7,"           0                 1         2
0  n02487347           macaque  0.979333
1  n02486410            baboon  0.008922
2  n02493793     spider_monkey  0.000974
3  n02493509              titi  0.000887
4  n02494079   squirrel_monkey  0.000426
5  n01514859               hen  0.000306
6  n02484975            guenon  0.000291
7  n02489166  proboscis_monkey  0.000239
8  n02486261             patas  0.000152
9  n02490219          marmoset  0.000131"
8,"           0                  1         2
0  n02279972            monarch  0.335544
1  n02277742            ringlet  0.139069
2  n02281406  sulphur_butterfly  0.092067
3  n02281787           lycaenid  0.057668
4  n07747607             orange  0.025280
5  n02264363           lacewing  0.013135
6  n02276258            admiral  0.007615
7  n07716906   spaghetti_squash  0.003914
8  n02206856                bee  0.003826
9  n07749582              lemon  0.003331"
9,"           0               1         2
0  n01518878         ostrich  0.874521
1  n02437616           llama  0.004073
2  n07802026             hay  0.001961
3  n02018795         bustard  0.001337
4  n04417672          thatch  0.001322
5  n02012849           crane  0.001094
6  n02437312   Arabian_camel  0.001020
7  n01860187      black_swan  0.000815
8  n02007558        flamingo  0.000751
9  n03535780  horizontal_bar  0.000582"
10,"           0                         1         2
0  n02056570              king_penguin  0.976029
1  n01829413                  hornbill  0.000355
2  n01828970                 bee_eater  0.000275
3  n01798484           prairie_chicken  0.000264
4  n02071294              killer_whale  0.000233
5  n01807496                 partridge  0.000162
6  n01629819  European_fire_salamander  0.000152
7  n02871525                  bookshop  0.000145
8  n01950731                  sea_slug  0.000143
9  n02077923                  sea_lion  0.000131"
11,"           0              1         2
0  n07753275      pineapple  0.844241
1  n07760859  custard_apple  0.008936
2  n07754684      jackfruit  0.006039
3  n07753592         banana  0.002372
4  n07745940     strawberry  0.002293
5  n07747607         orange  0.001658
6  n07730033        cardoon  0.001406
7  n07718747      artichoke  0.001193
8  n07768694    pomegranate  0.000844
9  n03089624  confectionery  0.000817"
12,"           0             1         2
0  n02356798  fox_squirrel  0.875004
1  n02137549      mongoose  0.009290
2  n01877812       wallaby  0.005611
3  n02361337        marmot  0.003219
4  n02325366   wood_rabbit  0.002676
5  n02120505      grey_fox  0.002105
6  n12267677         acorn  0.001547
7  n02326432          hare  0.000851
8  n12144580          corn  0.000822
9  n13133613           ear  0.000745"
13,"           0              1         2
0  n02129604          tiger  0.705145
1  n02123159      tiger_cat  0.217322
2  n02128925         jaguar  0.001207
3  n02127052           lynx  0.000849
4  n02391049          zebra  0.000506
5  n02109525  Saint_Bernard  0.000422
6  n02486261          patas  0.000412
7  n02125311         cougar  0.000352
8  n01818515          macaw  0.000318
9  n02279972        monarch  0.000311"
14,"           0                 1         2
0  n02408429     water_buffalo  0.692190
1  n02403003                ox  0.099399
2  n02410509             bison  0.027240
3  n02415577           bighorn  0.003726
4  n03868242            oxcart  0.003341
5  n02504458  African_elephant  0.003121
6  n02504013   Indian_elephant  0.002368
7  n01871265            tusker  0.001891
8  n02412080               ram  0.001524
9  n03967562              plow  0.001300"
15,"           0                 1         2
0  n02391049             zebra  0.914382
1  n02422106        hartebeest  0.000947
2  n01518878           ostrich  0.000594
3  n01685808          whiptail  0.000532
4  n02504458  African_elephant  0.000519
5  n02422699            impala  0.000432
6  n04254777              sock  0.000402
7  n02129604             tiger  0.000401
8  n03908618        pencil_box  0.000354
9  n02397096           warthog  0.000349"
